Join_Count,TARGET_FID,Join_Count_1,TARGET_FID_1,report_number,local_case_number_x,agency_name_x,acrs_report_type_x,crash_date_time_x,route_type_x,road_name_x,cross_street_type_x,cross_street_name_x,off_road_description_x,municipality_x,related_non_motorist_x,collision_type_x,weather_x,surface_condition_x,light_x,traffic_control_x,driver_substance_abuse_x,non_motorist_substance_abuse_x,person_id,pedestrian_type,pedestrian_movement,pedestrian_actions,pedestrian_location,pedestrian_obeyed_traffic_signal,pedestrian_visibility,at_fault_x,injury_severity,safety_equipment,latitude_x,longitude_x,geolocation_x,crashdate,year,on_offroad,serious_fatal_injury,crashtime,day_night,month,season,dartdash,pedestrian_yes_no,at_fault_binary,weekday_day,weekdays_y_n,county_road,hit_run,mile_point,mile_point_direction,lane_direction,lane_number,lane_type,number_of_lanes,direction,distance,distance_unit,road_grade,nontraffic,first_harmful_event,second_harmful_event,fixed_oject_struck,junction,intersection_type,intersection_area,road_alignment,road_condition,road_division,Reportnumber,NonMotoristSex,NonMotoristDOB,age,adult_yes_no,agegroup,month_year,Name,FolderPath,SymbolID,AltMode,Base,Clamped,Extruded,Snippet,PopupInfo,BUFF_DIST,ORIG_FID,COUNT,ObjectId,GeogName,ActName,Shape_Length,Shape_Area
0,11,0,11,DD5567001L,0.000000000000000,,,,,,,,,,,,,,,,,,897C451B-B8DA-4B11-8464-6B3F01021E89,PEDESTRIAN,Unknown,INATTENTIVE,OTHER,N/A,N/A,,SUSPECTED SERIOUS INJURY,NONE,0.000000000000000,0.000000000000000,,11/28/2023,2023,Off road,serious/fatal,12:46:00,day,11,fall,not dart dash,pedestrian,,,weekday,Not county,No,NA,,,0,,0,,NA,,,Yes,OTHER,N/A,N/A,,,,,,,DD5567001L,F,3/30/1954,69,Adult,19+,2023-11,,,,,,,,,,,,,11,,,,
0,12,1,12,DD5567001K,0.000000000000000,,,,,,,,,,,,,,,,,,535002E1-B74A-4441-91AB-45BBE12D17A6,BICYCLIST,Cross/Enter at Intersection,NO IMPROPER ACTIONS,ON ROADWAY NOT AT CROSSWALK,N/A,DARK CLOTHING,,NO APPARENT INJURY,MC/BIKE HELMET,0.000000000000000,0.000000000000000,,11/28/2023,2023,On road,not serious/fatal,10:42:00,day,11,fall,not dart dash,small wheeled thing,,,weekday,Not county,No,8.13,North,Unknown,0,N/A,0,North,0,FEET,LEVEL,No,BICYCLE,N/A,N/A,INTERSECTION,N/A,OTHER,STRAIGHT,NO DEFECTS,N/A,DD5567001K,M,6/6/1962,61,Adult,19+,2023-11,,,,,,,,,,,,,12,201 - WALK AREA,201 - MONTGOMERY HS REGULAR,,
1,13,1,13,MCP3148005P,0.000000000000000,,,,,,,,,,,,,,,,,,AC029FAC-B8F7-40C7-8BF0-D4035C3493BD,PEDESTRIAN,Other,NO IMPROPER ACTIONS,OTHER,N/A,MIXED CLOTHING,,POSSIBLE INJURY,N/A,0.000000000000000,0.000000000000000,,11/27/2023,2023,Off road,not serious/fatal,17:42:00,day,11,fall,not dart dash,pedestrian,,,weekday,Not county,Yes,NA,,,0,,0,,NA,,,Yes,PEDESTRIAN,N/A,N/A,,,,,,,MCP3148005P,F,6/20/1959,64,Adult,19+,2023-11,Placemark,MoCo_SZ_Copy_Apr_23/MoCo_SZ_Copy_Apr_23,0,0,0.000000000000000,-1,0,,"<html xmlns:fo=""http://www.w3.org/1999/XSL/Format"" xmlns:msxsl=""urn:schemas-microsoft-com:xslt"">
<head>
<META http-equiv=""Content-Type"" content=""text/html"">
<meta http-equiv=""content-type"" content=""text/html; charset=UTF-8"">
</head>
<body style=""margin:0px 0px 0px 0px;overflow:auto;background:#FFFFFF;"">
<table style=""font-family:Arial,Verdana,Times;font-size:12px;text-align:left;width:100%;border-collapse:collapse;padding:3px 3px 3px 3px"">
<tr style=""text-align:center;font-weight:bold;background:#9CBCE2"">
<td></td>
</tr>
<tr>
<td>
<table style=""font-family:Arial,Verdana,Times;font-size:12px;text-align:left;width:100%;border-spacing:0px; padding:3px 3px 3px 3px"">
<tr>
<td>OBJECTID_1</td>
<td>130</td>
</tr>
</table>
</td>
</tr>
</table>
</body><script type=""text/javascript"">
				function changeImage(attElement, nameElement) {
				document.getElementById('imageAttachment').src = attElement;
				document.getElementById('imageName').innerHTML = nameElement;}
			</script></html>
",100.000000000000000,120,,13,406 - WALK AREA,406 - B-CC HS REGULAR,,
0,14,0,14,DD5660000Q,0.000000000000000,,,,,,,,,,,,,,,,,,4BE2346C-EEEC-4A17-AF85-64351F7AC732,PEDESTRIAN,Cross/Enter at Intersection,NO IMPROPER ACTIONS,ON ROADWAY AT CROSSWALK,OBEYED PED. SIGNAL,DARK CLOTHING,,POSSIBLE INJURY,NONE,0.000000000000000,0.000000000000000,,11/26/2023,2023,On road,not serious/fatal,17:01:00,day,11,fall,not dart dash,pedestrian,,,weekend,Not county,No,7.11,North,North,1,,3,North,0,FEET,LEVEL,No,PEDESTRIAN,N/A,N/A,INTERSECTION,FOUR-WAY INTERSECTION,,STRAIGHT,NO DEFECTS,"TWO-WAY, DIVIDED, POSITIVE MEDIAN BARRIER",DD5660000Q,M,10/28/2005,18,Not adult,15 to 18,2023-11,,,,,,,,,,,,,14,,,,
0,15,0,15,MCP3372001Y,0.000000000000000,,,,,,,,,,,,,,,,,,804CB5E0-45B3-4E78-B317-68535C8BCB2B,PEDESTRIAN,Cross/Enter at Intersection,NO IMPROPER ACTIONS,ON ROADWAY AT CROSSWALK,OBEYED PED. SIGNAL,MIXED CLOTHING,,POSSIBLE INJURY,N/A,0.000000000000000,0.000000000000000,,11/22/2023,2023,On road,not serious/fatal,15:06:00,day,11,fall,not dart dash,pedestrian,,,weekday,County,No,0.72,North,South,1,,2,North,0,FEET,LEVEL,No,PEDESTRIAN,N/A,N/A,INTERSECTION,FOUR-WAY INTERSECTION,INTERSECTION RELATED,STRAIGHT,NO DEFECTS,"TWO-WAY, DIVIDED, POSITIVE MEDIAN BARRIER",MCP3372001Y,M,3/9/1957,66,Adult,19+,2023-11,,,,,,,,,,,,,15,,,,
0,16,0,16,MCP33500023,0.000000000000000,,,,,,,,,,,,,,,,,,21FC6FD7-FD46-4D5C-9AC3-51A4C9B60652,PEDESTRIAN,Walking/Riding w/Traffic,NO IMPROPER ACTIONS,AT INTERSECTION MARKED CROSSWALK,OBEYED PED. SIGNAL,MIXED CLOTHING,,SUSPECTED MINOR INJURY,N/A,0.000000000000000,0.000000000000000,,11/22/2023,2023,On road,not serious/fatal,13:10:00,day,11,fall,not dart dash,pedestrian,,,weekday,Not county,Yes,0,,South,1,,1,East,0,FEET,LEVEL,No,PEDESTRIAN,N/A,N/A,NON INTERSECTION,N/A,INTERSECTION,STRAIGHT,NO DEFECTS,"TWO-WAY, DIVIDED, UNPROTECTED PAINTED MIN 4 FEET",MCP33500023,F,7/1/1990,33,Adult,19+,2023-11,,,,,,,,,,,,,16,,,,
0,17,0,17,DD5583008D,0.000000000000000,,,,,,,,,,,,,,,,,,382DCF6D-8AEB-4707-AFB0-5FB07C8CC0F2,PEDESTRIAN,Cross/Enter at Intersection,UNKNOWN,ON ROADWAY AT CROSSWALK,UNKNOWN,MIXED CLOTHING,,POSSIBLE INJURY,N/A,0.000000000000000,0.000000000000000,,11/22/2023,2023,On road,not serious/fatal,7:27:00,day,11,fall,not dart dash,pedestrian,,,weekday,Not county,No,0,East,West,1,,1,West,200,FEET,HILL UPHILL,No,PEDESTRIAN,N/A,N/A,N/A,N/A,OTHER,CURVE RIGHT,NO DEFECTS,"TWO-WAY, DIVIDED, POSITIVE MEDIAN BARRIER",DD5583008D,F,9/22/1994,29,Adult,19+,2023-11,,,,,,,,,,,,,17,,,,
1,18,1,18,MCP2612005J,0.000000000000000,,,,,,,,,,,,,,,,,,5A202926-3BFC-4C34-8B00-97EECA6C836B,PEDESTRIAN,Cross/Enter at Intersection,UNKNOWN,ON ROADWAY AT CROSSWALK,UNKNOWN,DARK CLOTHING,,POSSIBLE INJURY,NONE,0.000000000000000,0.000000000000000,,11/21/2023,2023,On road,not serious/fatal,18:35:00,day,11,fall,not dart dash,pedestrian,,,weekday,County,No,0.18,West,East,1,,4,West,0,FEET,LEVEL,No,PEDESTRIAN,N/A,N/A,INTERSECTION,FOUR-WAY INTERSECTION,,STRAIGHT,NO DEFECTS,"TWO-WAY, NOT DIVIDED",MCP2612005J,M,9/3/1988,35,Adult,19+,2023-11,Placemark,MoCo_SZ_Copy_Apr_23/MoCo_SZ_Copy_Apr_23,0,0,0.000000000000000,-1,0,,"<html xmlns:fo=""http://www.w3.org/1999/XSL/Format"" xmlns:msxsl=""urn:schemas-microsoft-com:xslt"">
<head>
<META http-equiv=""Content-Type"" content=""text/html"">
<meta http-equiv=""content-type"" content=""text/html; charset=UTF-8"">
</head>
<body style=""margin:0px 0px 0px 0px;overflow:auto;background:#FFFFFF;"">
<table style=""font-family:Arial,Verdana,Times;font-size:12px;text-align:left;width:100%;border-collapse:collapse;padding:3px 3px 3px 3px"">
<tr style=""text-align:center;font-weight:bold;background:#9CBCE2"">
<td></td>
</tr>
<tr>
<td>
<table style=""font-family:Arial,Verdana,Times;font-size:12px;text-align:left;width:100%;border-spacing:0px; padding:3px 3px 3px 3px"">
<tr>
<td>OBJECTID_1</td>
<td>157</td>
</tr>
</table>
</td>
</tr>
</table>
</body><script type=""text/javascript"">
				function changeImage(attElement, nameElement) {
				document.getElementById('imageAttachment').src = attElement;
				document.getElementById('imageName').innerHTML = nameElement;}
			</script></html>
",100.000000000000000,147,,18,823 - WALK AREA,823 - ARGYLE MS REGULAR,,
0,19,0,19,MCP2552006P,0.000000000000000,,,,,,,,,,,,,,,,,,0479C76F-25C9-4E28-89CE-ABE19CDA79A6,PEDESTRIAN,Cross/Enter not at Intersection,IN ROADWAY IMPROPERLY,ON ROADWAY NOT AT CROSSWALK,NO PED. SIGNAL,DARK CLOTHING,,SUSPECTED MINOR INJURY,NONE,0.000000000000000,0.000000000000000,,11/21/2023,2023,On road,not serious/fatal,17:54:00,day,11,fall,not dart dash,pedestrian,,,weekday,County,No,11.84,North,North,3,,3,South,500,FEET,LEVEL,No,OTHER VEHICLE,N/A,N/A,N/A,N/A,N/A,STRAIGHT,NO DEFECTS,"TWO-WAY, DIVIDED, POSITIVE MEDIAN BARRIER",MCP2552006P,M,2/25/2006,17,Not adult,15 to 18,2023-11,,,,,,,,,,,,,19,,,,
0,20,2,20,EJ7885003T,0.000000000000000,,,,,,,,,,,,,,,,,,36CC16F8-73E6-4F68-9FB6-1E15E03FF6C3,PEDESTRIAN,Cross/Enter at Intersection,NO IMPROPER ACTIONS,ON ROADWAY AT CROSSWALK,N/A,MIXED CLOTHING,,POSSIBLE INJURY,NONE,0.000000000000000,0.000000000000000,,11/21/2023,2023,On road,not serious/fatal,16:41:00,day,11,fall,not dart dash,pedestrian,,,weekday,Not county,No,0.38,East,West,2,,2,East,0,FEET,LEVEL,No,PEDESTRIAN,N/A,N/A,INTERSECTION,T-INTERSECTION,N/A,STRAIGHT,NO DEFECTS,OTHER,EJ7885003T,M,6/23/1989,34,Adult,19+,2023-11,,,,,,,,,,,,,20,563 - WALK AREA,563 - SUMMIT HALL ES REGULAR,,
0,21,0,21,MCP2641003N,0.000000000000000,,,,,,,,,,,,,,,,,,738B23EC-1063-42E7-9ABF-65C70F373FAE,PEDESTRIAN,Walking/Riding w/Traffic,NO IMPROPER ACTIONS,ON ROADWAY AT CROSSWALK,OBEYED PED. SIGNAL,DARK CLOTHING,,POSSIBLE INJURY,N/A,0.000000000000000,0.000000000000000,,11/20/2023,2023,On road,not serious/fatal,18:05:00,day,11,fall,not dart dash,pedestrian,,,weekday,County,No,0.11,North,West,1,,1,North,0,FEET,LEVEL,No,PEDESTRIAN,N/A,N/A,INTERSECTION,FOUR-WAY INTERSECTION,N/A,STRAIGHT,NO DEFECTS,"TWO-WAY, DIVIDED, POSITIVE MEDIAN BARRIER",MCP2641003N,F,1/16/1999,24,Adult,19+,2023-11,,,,,,,,,,,,7270.000000000000000,21,,,,
0,22,0,22,DD56700009,0.000000000000000,,,,,,,,,,,,,,,,,,8F58F043-5BD9-4B07-9A66-BBB933C139D7,PEDESTRIAN,Cross/Enter at Intersection,NOT VISIBLE,AT INTERSECTION MARKED CROSSWALK,UNKNOWN,DARK CLOTHING,,SUSPECTED MINOR INJURY,NONE,0.000000000000000,0.000000000000000,,11/20/2023,2023,On road,not serious/fatal,17:03:00,day,11,fall,not dart dash,pedestrian,,,weekday,County,Yes,1.55,East,West,0,RIGHT TURN LANE,4,East,10,FEET,LEVEL,No,PEDESTRIAN,N/A,N/A,INTERSECTION RELATED,FOUR-WAY INTERSECTION,INTERSECTION,STRAIGHT,NO DEFECTS,"TWO-WAY, DIVIDED, POSITIVE MEDIAN BARRIER",DD56700009,M,9/9/1993,30,Adult,19+,2023-11,,,,,,,,,,,,,22,,,,
0,23,0,23,MCP30100090,0.000000000000000,,,,,,,,,,,,,,,,,,E8D3EF99-D18D-4F49-AF92-101B2017F1FA,MACHINE OPERATOR/RIDER,Cross/Enter at Intersection,NO IMPROPER ACTIONS,ON ROADWAY AT CROSSWALK,NO PED. SIGNAL,DARK CLOTHING,,SUSPECTED MINOR INJURY,MC/BIKE HELMET,0.000000000000000,0.000000000000000,,11/20/2023,2023,On road,not serious/fatal,9:50:00,day,11,fall,not dart dash,small wheeled thing,,,weekday,County,No,0,West,North,1,,1,East,200,FEET,HILL UPHILL,No,PEDESTRIAN,N/A,N/A,CROSSOVER RELATED,T-INTERSECTION,,STRAIGHT,NO DEFECTS,"TWO-WAY, DIVIDED, UNPROTECTED PAINTED MIN 4 FEET",MCP30100090,M,5/8/1978,45,Adult,19+,2023-11,,,,,,,,,,,,,23,,,,
0,24,1,24,DM8492001H,0.000000000000000,,,,,,,,,,,,,,,,,,E03EE11B-0141-4D9D-B43B-195736441DD9,PEDESTRIAN,Cross/Enter at Intersection,N/A,ON ROADWAY AT CROSSWALK,OBEYED PED. SIGNAL,DARK CLOTHING,,POSSIBLE INJURY,NONE,0.000000000000000,0.000000000000000,,11/19/2023,2023,On road,not serious/fatal,21:01:00,night,11,fall,not dart dash,pedestrian,,,weekend,Not county,No,5.87,East,East,1,,2,East,0,FEET,LEVEL,No,PEDESTRIAN,N/A,N/A,INTERSECTION,T-INTERSECTION,INTERSECTION,STRAIGHT,NO DEFECTS,"TWO-WAY, NOT DIVIDED",DM8492001H,F,11/28/1962,61,Adult,19+,2023-11,,,,,,,,,,,,,24,755 - WALK AREA,755 - TAKOMA PARK MS REGULAR,,
0,25,1,25,MCP3170003M,0.000000000000000,,,,,,,,,,,,,,,,,,E8F3C4C3-4392-4A95-B9F9-F151F22F3432,BICYCLIST,Cross/Enter at Intersection,FAILURE TO OBEY TRAFFIC SIGNS SIGNALS OR OFFICER,ON ROADWAY AT CROSSWALK,DISOBEYED PED. SIGNAL,MIXED CLOTHING,,NO APPARENT INJURY,MC/BIKE HELMET,0.000000000000000,0.000000000000000,,11/19/2023,2023,On road,not serious/fatal,15:47:00,day,11,fall,not dart dash,small wheeled thing,,,weekend,County,No,0.47,South,South,2,,2,South,10,FEET,LEVEL,No,BICYCLE,N/A,N/A,N/A,FOUR-WAY INTERSECTION,N/A,STRAIGHT,NO DEFECTS,"TWO-WAY, DIVIDED, POSITIVE MEDIAN BARRIER",MCP3170003M,M,3/30/1963,60,Adult,19+,2023-11,,,,,,,,,,,,,25,104 - WALK AREA,104 - SENECA VALLEY HS REGULAR,,
0,26,1,26,MCP2608005D,0.000000000000000,,,,,,,,,,,,,,,,,,99682F4C-29D2-4B70-8D9D-DEA679255D26,PEDESTRIAN,Cross/Enter not at Intersection,NO IMPROPER ACTIONS,ON ROADWAY NOT AT CROSSWALK,NO PED. SIGNAL,MIXED CLOTHING,,POSSIBLE INJURY,N/A,0.000000000000000,0.000000000000000,,11/18/2023,2023,On road,not serious/fatal,19:14:00,day,11,fall,not dart dash,pedestrian,,,weekend,County,No,1.63,North,North,2,,2,North,0,FEET,LEVEL,No,PEDESTRIAN,N/A,N/A,NON INTERSECTION,N/A,,STRAIGHT,NO DEFECTS,"TWO-WAY, DIVIDED, UNPROTECTED PAINTED MIN 4 FEET",MCP2608005D,M,8/17/1975,48,Adult,19+,2023-11,,,,,,,,,,,,,26,771 - WALK AREA,771 - ROLLING TERRACE ES REGULAR,,
0,27,3,27,MCP2760004H,0.000000000000000,,,,,,,,,,,,,,,,,,B7AD6816-0BA4-41B5-886A-0BBBE151CD88,PEDESTRIAN,Cross/Enter not at Intersection,DART DASH,ON ROADWAY NOT AT CROSSWALK,N/A,DARK CLOTHING,,SUSPECTED MINOR INJURY,N/A,0.000000000000000,0.000000000000000,,11/17/2023,2023,On road,not serious/fatal,16:10:00,day,11,fall,dart dash,pedestrian,,,weekday,County,No,0.94,North,West,1,,2,North,1,MILE,LEVEL,No,PEDESTRIAN,N/A,N/A,NON INTERSECTION,N/A,N/A,STRAIGHT,NO DEFECTS,"TWO-WAY, DIVIDED, POSITIVE MEDIAN BARRIER",MCP2760004H,M,5/11/2010,13,Not adult,12 to 14,2023-11,,,,,,,,,,,,,27,568 - WALK AREA,568 - STEDWICK ES REGULAR,,
